order_month,customer_state,product_category_name,payment_type,cuboid_level,support_count,order_count,total_sales,avg_review_score,avg_delivery_days
2017-06,ALL,ALL,boleto,2,820,703,108320.01999999999,4.139024390243902,8.435365853658537
2017-12,MG,ALL,ALL,2,818,681,112173.8,3.991442542787286,10.101466992665037
ALL,PA,ALL,credit_card,2,816,722,170044.83999999997,3.7794117647058822,20.113970588235293
2018-07,ALL,beleza_saude,ALL,2,807,713,126190.07,4.219330855018588,6.018587360594796
2017-10,RJ,ALL,ALL,2,803,662,118023.92,4.070983810709838,8.938978829389788
2018-05,ALL,beleza_saude,ALL,2,803,686,113690.28,4.25280199252802,8.315068493150685
2018-08,MG,ALL,ALL,2,789,704,117178.32999999999,4.285171102661597,4.880861850443599
2018-03,ALL,esporte_lazer,ALL,2,788,672,102834.26,3.700507614213198,11.626903553299492
2018-05,ALL,cama_mesa_banho,ALL,2,783,606,89541.9,3.9821200510855683,9.168582375478927
ALL,MT,ALL,credit_card,2,778,654,147694.11,3.982005141388175,14.289203084832906
2017-09,RJ,ALL,ALL,2,777,606,117483.12,4.148005148005148,9.368082368082367
